Date,price
7/14/2015,96.639999
7/15/2015,97.129997
7/16/2015,97.660004
7/17/2015,97.860001
7/20/2015,98.029999
7/21/2015,97.330002
7/22/2015,97.599998
7/23/2015,97.120003
7/24/2015,97.239998
7/27/2015,96.5
7/28/2015,96.769997
7/29/2015,96.980003
7/30/2015,97.559998
7/31/2015,97.370003
8/3/2015,97.489998
8/4/2015,97.93
8/5/2015,97.959999
8/6/2015,97.830002
8/7/2015,97.559998
8/10/2015,97.160004
8/11/2015,97.290001
8/12/2015,96.260002
8/13/2015,96.449997
8/14/2015,96.57
8/17/2015,96.82
8/18/2015,96.970001
8/19/2015,96.459999
8/20/2015,95.75
8/21/2015,94.830002
8/24/2015,93.309998
8/25/2015,94.529999
8/26/2015,95.099998
8/27/2015,95.610001
8/28/2015,96.110001
8/31/2015,95.949997
9/1/2015,95.449997
9/2/2015,95.830002
9/3/2015,96.410004
9/4/2015,96.230003
9/8/2015,95.879997
9/9/2015,96.010002
9/10/2015,95.459999
9/11/2015,95.190002
9/14/2015,95.25
9/15/2015,95.610001
9/16/2015,95.419998
9/17/2015,94.550003
9/18/2015,94.860001
9/21/2015,95.889999
9/22/2015,96.279999
9/23/2015,96.07
9/24/2015,95.989998
9/25/2015,96.269997
9/28/2015,96.029999
9/29/2015,95.889999
9/30/2015,96.349998
10/1/2015,96.190002
10/2/2015,95.830002
10/5/2015,96.110001
10/6/2015,95.459999
10/7/2015,95.5
10/8/2015,95.32
10/9/2015,94.809998
10/12/2015,94.839996
10/13/2015,94.760002
10/14/2015,93.93
10/15/2015,94.370003
10/16/2015,94.540001
10/19/2015,94.959999
10/20/2015,94.849998
10/21/2015,95.050003
10/22/2015,96.339996
10/23/2015,97.07
10/26/2015,96.860001
10/27/2015,96.910004
10/28/2015,97.779999
10/29/2015,97.279999
10/30/2015,96.949997
11/2/2015,96.93
11/3/2015,97.160004
11/4/2015,97.949997
11/5/2015,97.940002
11/6/2015,99.160004
11/9/2015,98.980003
11/10/2015,99.290001
11/11/2015,99.010002
11/12/2015,98.650002
11/13/2015,98.989998
11/16/2015,99.440002
11/17/2015,99.629997
11/18/2015,99.650002
11/19/2015,98.989998
11/20/2015,99.57
11/23/2015,99.800003
11/24/2015,99.529999
11/25/2015,99.800003
11/27/2015,100.019997
11/30/2015,100.169998
12/1/2015,99.800003
12/2/2015,99.989998
12/3/2015,97.620003
12/4/2015,98.349998
12/7/2015,98.660004
12/8/2015,98.470001
12/9/2015,97.349998
12/10/2015,97.940002
12/11/2015,97.57
12/14/2015,97.599998
12/15/2015,98.220001
12/16/2015,97.870003
12/17/2015,99.269997
12/18/2015,98.699997
12/21/2015,98.459999
12/22/2015,98.239998
12/23/2015,98.339996
12/24/2015,97.980003
12/28/2015,97.919998
12/29/2015,98.099998
12/30/2015,98.269997
12/31/2015,98.629997
